"","country","city","total_aqi"
"1","Algeria","Algiers",47
"2","Benin","Cotonou",13
"3","Botswana","Gaborone",20
"4","Burkina Faso","Ouagadougou",26
"5","Burundi","Bujumbura",NA
"6","Cameroon","Douala",NA
"7","Central African Republic","Bangui",3
"8","Chad","N'Djamena",500
"9","Comoros","Moroni",NA
"10","Congo","Brazzaville",10
"11","Côte d'Ivoire","Abidjan",12
"12","Democratic Republic of the Congo","Kinshasa",NA
"13","Equatorial Guinea","Malabo",14
"14","Eswatini","Mbabane",22
"15","Ethiopia","Addis Ababa",73
"16","Gabon","Libreville",20
"17","Gambia","Banjul",77
"18","Ghana","Accra",13
"19","Guinea","Conakry",148
"20","Guinea-Bissau","Bissau",103
"21","Kenya","Nairobi",13
"22","Lesotho","Maseru",NA
"23","Liberia","Monrovia",24
"24","Madagascar","Antananarivo",12
"25","Malawi","Lilongwe",NA
"26","Mali","Bamako",54
"27","Mauritania","Nouakchott",95
"28","Mozambique","Maputo",37
"29","Namibia","Windhoek",33
"30","Niger","Niamey",NA
"31","Nigeria","Lagos",NA
"32","Rwanda","Kigali",49
"33","Senegal","Dakar",79
"34","Sierra Leone","Freetown",120
"35","South Africa","Johannesburg",30
"36","South Sudan","Juba",NA
"37","Togo","Lomé",13
"38","Uganda","Kampala",12
"39","United Republic of Tanzania","Dar es Salaam",6
"40","Zambia","Lusaka",13
"41","Zimbabwe","Harare",16
"42","Antigua and Barbuda","St. John's",68
"43","Argentina","Buenos Aires",32
"44","Bahamas","Nassau",69
"45","Barbados","Bridgetown",39
"46","Belize","Belize City",20
"47","Bolivia (Plurinational State of)","Santa Cruz",124
"48","Brazil","São Paulo",15
"49","Canada","Toronto",145
"50","Chile","Santiago",42
"51","Colombia","Bogotá",81
"52","Costa Rica","San José",29
"53","Cuba","Havana",84
"54","Dominican Republic","Santo Domingo",58
"55","Ecuador","Guayaquil",24
"56","El Salvador","San Salvador",NA
"57","Guatemala","Guatemala City",81
"58","Guyana","Georgetown",10
"59","Haiti","Port-au-Prince",45
"60","Honduras","Tegucigalpa",52
"61","Jamaica","Kingston",NA
"62","Mexico","Mexico City",NA
"63","Nicaragua","Managua",30
"64","Panama","Panama City",25
"65","Peru","Lima",34
"66","Saint Lucia","Castries",43
"67","Saint Vincent and the Grenadines","Kingstown",44
"68","Trinidad and Tobago","Port of Spain",20
"69","United States of America","New York",141
"70","Afghanistan","Kabul",97
"71","Bahrain","Manama",68
"72","Djibouti","Djibouti",30
"73","Iran (Islamic Republic of)","Tehran",27
"74","Iraq","Baghdad",125
"75","Jordan","Amman",150
"76","Kuwait","Kuwait City",80
"77","Lebanon","Beirut",184
"78","Libya","Tripoli",127
"79","Morocco","Casablanca",72
"80","Oman","Muscat",91
"81","Pakistan","Karachi",98
"82","Qatar","Doha",112
